Bracket Type=4,,,,,,,,,,,,,,,,,,,,,,
File Name,Path,Instrument Method,Position,Inj Vol,,,,,,,,,,,,,,,,,,
MSJ01_MM_PoolB6,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,R:A4,5,,,,,,,,,,,,,,,,,,
MSJ01_MM_Blank_2,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,R:A1,2,,,,,,,,,,,,,,,,,,
MSJ01_MM_041,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:E8,5,,,,,,,,,,,,,,,,,,
MSJ01_MM_047,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:F5,5,,,,,,,,,,,,,,,,,,
MSJ01_MM_044,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:F2,5,,,,,,,,,,,,,,,,,,
MSJ01_MM_025_b,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:D1,5,,,,,,,,,,,,,,,,,,
MSJ01_MM_027_b,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:D3,5,,,,,,,,,,,,,,,,,,
MSJ01_MM_045,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:F4,5,,,,,,,,,,,,,,,,,,
MSJ01_MM_022,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:C7,5,,,,,,,,,,,,,,,,,,
MSJ01_MM_035,D:\Data\2024_Projects_E240\20241008_Maria_MSJ01_pHILIC_E240,D:\Methods\pHILIC\pHILIC_fullscan_PS_E240,G:E1,5,,,,,,,,,,,,,,,,,,
